Año;Mes;Dia; Hora
2020;09;20;09-56-44
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-3;-1;-4;-5;-4;-3;-1;-1;
-2;-3;-5;-6;-5;-2;-2;-3;
0;-2;-2;-2;-1;0;-1;-3;
-1;-1;0;-2;-3;-2;1;0;
-1;-2;-1;0;0;-1;0;0;
-1;2;2;0;0;-1;-1;-3;
-1;-1;2;0;-3;-1;0;0;
-1;0;0;-1;0;-1;-1;0;
-2;-2;-1;-5;0;-1;-2;-3;
0;-2;-4;-4;0;-1;1;1;
-4;-4;-6;-6;-4;-1;1;0;
0;-2;-4;-3;-3;-3;-1;-1;
0;1;3;4;1;5;1;-2;
0;-1;1;2;-2;-2;0;1;
-1;0;1;3;1;2;0;1;
-2;-4;-5;-4;-4;-1;0;-2;
-2;-1;-4;-9;-2;-5;-2;-2;
-2;1;-2;-1;-4;-3;-1;1;
1;-4;-6;-5;-1;-1;-1;0;
2;4;10;18;8;3;0;0;
-2;1;1;0;0;1;0;-1;
0;-1;-1;1;-2;0;1;-2;
-2;-2;-2;-10;-4;-3;0;0;
-2;-4;-8;-11;-7;-3;-4;-2;
0;1;-1;1;1;-1;-1;-2;
-1;-1;-1;-5;1;-1;0;-1;
-1;0;3;1;-1;0;-1;-2;
-3;-1;-2;-2;-1;1;0;-2;
-3;-2;-2;-3;-3;-2;-2;0;
-1;-4;-3;-2;1;-1;-1;-2;
-1;-1;-1;0;1;-2;0;0;
0;-5;-7;-8;-2;-1;1;0;
1;-2;1;2;-1;-1;-1;-1;
1;3;5;7;4;2;0;2;
-2;-1;1;3;-2;-1;1;-1;
0;0;-1;-4;-3;-1;0;0;
-3;-3;-5;-5;-3;-3;-2;-2;
-1;-2;-4;-9;-5;-1;-1;0;
-2;-1;-2;3;-4;-2;-2;-2;
-1;0;-5;-7;-1;0;0;0;
1;4;9;17;10;1;1;1;
0;2;4;8;3;1;0;1;
-1;-2;-3;-7;-4;-1;-1;-3;
-1;-2;-2;-4;-3;-4;-2;-4;
-2;-2;-8;-9;-3;-3;-1;-2;
-1;-4;-4;-8;-4;-3;-3;0;
-2;1;-1;-1;-1;0;-2;-2;
1;2;2;5;4;2;0;0;
0;1;-3;2;0;-1;0;-1;
-1;0;1;0;-1;-1;0;1;
-3;-4;-1;-1;-2;-1;0;-2;
-1;0;1;4;2;-1;-2;-1;
-1;-2;-2;-5;-4;-3;-1;0;
-1;-1;-4;-2;-1;1;0;-2;
-1;-4;-4;-2;-3;-2;-1;-1;
-2;-1;2;-1;-2;-2;0;0;
0;-1;-2;-2;-1;-1;-1;-1;
-2;-1;-2;-1;-1;-1;0;-1;
-1;2;2;3;4;1;-6;0;
-3;-1;1;0;-3;0;-1;-3;
-1;-4;-5;-8;-8;-2;-3;-1;
0;-1;-4;-2;2;1;-1;-3;
0;2;1;4;3;-1;1;-1;
-2;-2;-1;-3;-3;-3;0;0;
0;0;-6;-9;-3;-4;-1;-1;
-1;-3;0;1;-4;-1;-2;-2;
0;2;8;6;3;1;2;-1;
-2;-1;0;6;1;1;-3;-2;
-2;0;0;1;1;0;1;0;
-2;-3;-3;-2;-1;-1;-3;0;
1;0;-3;-5;-3;-1;1;0;
-1;-2;-3;-3;-1;-2;-2;-1;
-2;-3;-2;-5;-4;-1;-3;-2;
-3;0;-1;-1;-1;0;-2;-1;
0;-2;0;2;0;1;-1;-1;
1;-3;-4;-7;-4;0;0;1;
-1;-3;1;1;1;-1;-1;-1;
1;-1;1;5;2;-1;0;1;
1;1;-2;-4;-4;-1;0;2;
0;1;1;6;1;-1;0;0;
-1;0;-2;0;-3;-3;1;-1;
-2;-2;-4;-5;-4;-4;0;0;
0;-3;-3;-3;-3;-1;-3;-1;
-2;-2;-8;-11;0;-1;0;0;
1;3;11;14;2;2;0;0;
-1;2;3;5;0;0;0;-3;
-2;-1;-5;-4;-1;-4;-1;-1;
-3;-1;-4;-6;-6;-3;-1;-3;
-3;-3;-4;-7;0;0;-3;-2;
0;-1;0;4;3;0;1;-1;
-1;0;3;4;0;1;1;-1;
1;-1;1;5;-1;-2;0;1;
-2;-1;-4;-4;-4;0;0;-2;
-1;-5;-3;-6;-6;-3;-1;-1;
-3;-2;-6;-6;-4;-2;-2;-2;
2;0;1;7;4;0;0;-1;
-1;-1;0;-6;-3;0;-2;-1;
1;-1;0;4;2;-1;0;0;
-2;0;1;3;-2;-1;-2;-2;
-1;0;-1;-3;-3;-2;1;-1;
0;-1;-2;-1;0;-2;-2;-1;
-2;-6;-10;-12;-4;-4;-3;1;
-1;-2;3;4;-4;-4;-5;-3;
0;-1;3;-1;-1;0;1;0;
1;3;3;7;6;1;-2;1;
-1;0;2;4;1;-1;-1;-1;
-3;-5;-6;-6;-3;-1;-2;-1;
-3;-4;-2;-6;-5;-2;-1;-1;
0;1;1;3;2;1;1;0;
-4;-3;-2;-2;-1;-2;0;0;
-2;2;3;2;2;-2;-1;-3;
-1;-1;-3;-3;-1;0;0;-1;
0;2;2;0;1;1;-1;-2;
1;-1;2;2;2;2;-1;-1;
-1;-2;-7;-6;-4;-3;-1;-1;
1;-3;-2;-3;-2;-1;-2;-2;
-2;-2;0;0;-3;-1;-1;1;
-2;-1;-2;-4;-5;-2;-1;0;
-2;-1;-3;0;-1;1;0;-1;
1;1;-1;0;3;2;-1;-1;
-2;0;3;0;-2;0;-1;-2;
-1;0;-1;-2;-2;-3;0;0;
1;-2;1;2;-1;1;-1;0;
-2;-3;-4;-2;-4;-3;-2;-2;
-2;-5;-7;-10;-4;-1;-3;-3;
-1;0;4;9;2;-2;-2;-1;
0;0;0;-1;-2;-1;0;1;
-1;2;4;4;1;1;2;-1;
0;0;-2;-1;-2;0;0;0;
-3;-1;-4;-7;-2;-1;-2;-2;
-1;-4;-2;4;1;-1;-2;-1;
-2;-3;-2;-3;-2;0;-1;-1;
-2;-1;-5;-8;-4;-3;2;-1;
1;0;-2;-2;0;0;-1;-1;
0;0;2;7;4;0;0;-1;
-3;-2;0;1;-2;-2;-2;0;
-2;-1;-4;-2;0;-3;-1;-3;
-1;-2;-3;-3;-2;-1;-2;0;
-2;0;-1;-3;-3;-2;0;-3;
0;1;2;3;2;1;0;-1;
-2;-2;-5;-5;-1;-1;-1;-3;
-1;0;0;-1;-2;-4;-1;1;
0;-1;-3;-4;-4;-2;0;0;
1;0;0;5;5;-1;-1;-1;
-1;0;3;7;5;2;2;2;
-2;-3;-4;-5;-2;-1;-2;-1;
-3;-1;-1;-5;-4;-2;1;0;
-2;-1;-1;-5;-3;-1;-3;-3;
-2;-2;0;2;2;2;-2;-2;
-2;-2;-1;1;1;-1;0;0;
-2;-2;-3;-3;-1;-2;-1;-1;
-2;-1;-2;-4;-6;-1;-3;0;
0;-1;3;3;0;1;-1;1;
0;-1;-1;-2;1;0;-1;-1;
-3;-4;-1;2;-2;-4;-7;-3;
-1;-3;-10;-8;-3;-2;-3;-1;
1;1;0;-5;-5;-3;-2;0;
-1;0;-1;0;1;0;-1;-1;
-1;0;3;4;0;0;2;0;
0;0;7;7;2;1;1;0;
-2;-4;-6;-10;-3;-2;-1;-1;
-2;-1;-4;-2;-4;-3;-1;0;
-2;-1;-3;0;3;1;0;-2;
-1;1;-1;-1;-1;-1;0;1;
0;1;2;10;6;1;2;0;
0;0;1;0;3;2;0;1;
0;-2;-1;-6;-4;0;-1;0;
0;-2;-3;-5;-5;-2;0;-1;
1;-3;-3;-8;-4;-2;-3;-4;
-2;-3;-7;-5;-3;-2;-2;0;
0;0;2;4;1;-1;-2;1;
1;1;4;6;2;1;2;-1;
-2;0;4;4;-1;0;-1;0;
0;-2;0;3;4;-2;-2;-1;
0;-2;-5;-2;-5;-2;1;0;
-2;-3;-6;-5;-3;-1;0;0;
-3;-5;-6;-8;-8;-4;-3;-2;
-1;1;1;6;1;-1;-1;1;
0;1;6;1;-2;0;0;0;
0;-2;0;6;3;0;0;0;
0;1;1;-6;-1;0;2;2;
-2;-1;-2;3;2;-2;0;-2;
-5;-3;-5;-5;-4;-2;-4;-3;
-1;-3;-2;-6;-3;-1;-2;-1;
-1;-2;-1;1;1;1;0;-2;
0;0;1;-3;-2;-1;0;0;
-1;-1;1;3;0;-2;0;0;
-2;-1;-1;-3;-2;-2;-2;-2;
-1;-2;0;1;0;-1;-1;-1;
-1;-2;-2;-5;-4;-2;0;0;
-2;-5;-7;-7;-4;0;-2;-2;
0;2;0;0;1;0;0;-1;
2;2;3;6;0;-1;0;0;
1;1;6;7;4;2;0;0;
-1;-1;-1;-4;-2;-2;0;-1;
-3;-1;-4;-5;-4;-3;-1;-1;
-2;-3;-5;-6;-5;-2;-2;-3;
0;-2;-2;-2;-1;0;-1;-3;
-1;-1;0;-2;-3;-2;1;0;
-1;-2;-1;0;0;-1;0;0;
-1;2;2;0;0;-1;-1;-3;
-1;-1;2;0;-3;-1;0;0;
-1;-1;-1;0;1;0;-2;-2;
0;-4;-3;-1;-2;-1;-3;-1;
-1;0;-1;-5;-3;-1;0;-2;
0;1;0;-2;-2;0;-1;-1;
1;2;6;11;4;-1;0;-1;
-1;0;3;4;0;0;2;0;
0;0;7;7;2;1;1;0;
-2;-4;-6;-10;-3;-2;-1;-1;
-2;-1;-4;-2;-4;-3;-1;0;
-2;-1;-3;0;3;1;0;-2;
-1;1;-1;-1;-1;-1;0;1;
0;1;2;10;6;1;2;0;
0;0;1;0;3;2;0;1;
0;-2;-1;-6;-4;0;-1;0;
0;-2;-3;-5;-5;-2;0;-1;
1;-3;-3;-8;-4;-2;-3;-4;
-2;-3;-7;-5;-3;-2;-2;0;
0;0;2;4;1;-1;-2;1;
1;1;4;6;2;1;2;-1;
-2;0;4;4;-1;0;-1;0;
0;-2;0;3;4;-2;-2;-1;
0;-2;-5;-2;-5;-2;1;0;
-2;-3;-6;-5;-3;-1;0;0;
-3;-5;-6;-8;-8;-4;-3;-2;
-1;1;1;6;1;-1;-1;1;
0;1;6;1;-2;0;0;0;
0;-2;0;6;3;0;0;0;
0;1;1;-6;-1;0;2;2;
-2;-1;-2;3;2;-2;0;-2;
-5;-3;-5;-5;-4;-2;-4;-3;
-1;-3;-2;-6;-3;-1;-2;-1;
-1;-2;-1;1;1;1;0;-2;
0;0;1;-3;-2;-1;0;0;
-1;-1;1;3;0;-2;0;0;
-2;-1;-1;-3;-2;-2;-2;-2;
-1;-2;0;1;0;-1;-1;-1;
-1;-2;-2;-5;-4;-2;0;0;
-2;-5;-7;-7;-4;0;-2;-2;
0;2;0;0;1;0;0;-1;
2;2;3;6;0;-1;0;0;
1;1;6;7;4;2;0;0;
-1;-1;-1;-4;-2;-2;0;-1;
-3;-1;-4;-5;-4;-3;-1;-1;
-2;-3;-5;-6;-5;-2;-2;-3;
0;-2;-2;-2;-1;0;-1;-3;
-1;-1;0;-2;-3;-2;1;0;
-1;-2;-1;0;0;-1;0;0;
-1;2;2;0;0;-1;-1;-3;
-1;-1;2;0;-3;-1;0;0;
-1;-1;-1;0;1;0;-2;-2;
0;-4;-3;-1;-2;-1;-3;-1;
-1;0;-1;-5;-3;-1;0;-2;
0;1;0;-2;-2;0;-1;-1;
1;2;6;11;4;-1;0;-1;
-2;0;2;1;-1;-1;2;3;
-3;0;-5;-5;-1;-1;-3;-2;
-1;0;-2;-3;-1;-3;1;1;
-1;-2;-5;-9;-6;-1;-1;-2;
0;-3;-2;2;-2;0;0;0;
1;-2;0;1;1;1;-2;0;
-3;-4;-2;-3;-2;0;0;-1;
-1;1;1;4;1;0;0;-2;
-1;0;-1;0;-1;0;-2;-2;
0;-3;-5;-2;-1;-3;-2;1;
-3;-2;0;5;2;-1;-2;-1;
-1;-2;-5;-7;-4;-3;-3;-3;
1;0;3;9;7;3;1;2;
-1;1;-2;-4;-3;0;1;-1;
-1;-1;-2;0;-1;-1;-1;-1;
-1;-1;-2;-1;0;-1;0;-1;
-2;0;1;2;-1;-1;0;-1;
-3;-3;-3;-4;-4;-1;-1;0;
-2;-4;-7;-12;-6;0;-2;-1;
1;3;3;5;1;0;0;1;
0;0;5;1;-1;0;0;-2;
-1;-1;-1;2;2;-1;0;-1;
-2;-1;-4;-7;-5;-1;1;0;
-3;-2;-5;-5;-2;-1;0;-2;
0;-1;-1;-2;0;-1;-4;-3;
0;-3;1;0;0;-3;-1;-1;
-1;-3;-2;-10;-4;-2;0;-2;
-1;0;2;3;4;3;0;0;
-2;2;0;-2;-6;-1;0;0;
-2;1;2;0;1;-2;-3;-2;
1;-2;-3;-4;-2;-1;0;0;
-1;-2;1;3;-4;-2;-2;0;
-1;-2;-3;-2;3;0;0;-1;
-1;0;-2;0;-3;0;-1;-3;
0;1;3;5;0;0;-2;0;
0;-2;-1;-3;-2;-1;0;-1;
0;-4;-5;-7;-5;-2;-2;-3;
-1;0;-1;-2;-1;-1;-2;1;
-1;0;0;1;1;-2;-1;-2;
-3;-1;-5;-8;-3;-3;-1;-3;
-1;-3;-6;-3;-4;-2;1;0;
1;1;7;14;5;1;1;0;
-1;-1;0;0;1;0;0;-2;
-3;-1;0;-1;1;0;-2;-4;
-1;-1;-5;-5;-2;-1;-2;-1;
1;-1;-4;-1;-2;-1;-3;-1;
-4;1;0;-1;-2;0;-1;0;
-2;-4;-5;-8;-6;-3;-1;-3;
-3;-1;-4;-7;-1;-3;0;-1;
-2;1;-1;2;-2;1;2;1;
0;0;-1;-4;-1;-1;-5;0;
-1;-2;-4;4;1;0;0;-1;
-1;-4;-4;-3;-4;-3;-3;-3;
0;-2;0;0;1;-2;-1;-2;
0;0;1;4;1;1;0;0;
-3;1;0;-2;-3;-3;1;-2;
-1;-3;-7;-10;-3;0;-2;-1;
1;0;2;8;0;0;-1;0;
-1;1;1;1;1;-1;-1;0;
-1;-3;0;-3;-1;-1;-2;-3;
-2;-2;-4;-4;-2;-1;-1;-3;
-2;-4;-9;-13;-7;-1;-2;0;
-1;0;1;5;2;-1;-1;0;
1;2;5;5;3;1;1;0;
-3;0;0;2;0;-1;-1;0;
0;-1;-1;-3;-2;-2;-3;-1;
-3;-2;-3;-2;-1;1;-2;-1;
0;-1;0;-1;-2;0;-2;-2;
0;-4;-6;-12;-4;-3;-1;-1;
-1;-1;2;2;-1;-2;-3;-1;
0;1;4;7;4;1;2;-1;
-1;0;-2;5;1;0;-1;0;
-1;-1;0;-4;-2;-2;-1;-1;
0;-1;0;-2;-1;-1;-1;0;
-1;-3;-6;-11;-6;-2;-1;0;
1;-1;-2;1;2;0;-1;0;
0;1;7;6;3;0;0;1;
0;1;1;2;0;1;-1;-1;
-2;-1;-1;-3;-5;-1;0;-2;
-2;-3;-8;-1;-4;-4;-2;-1;
-1;0;-4;-3;0;-2;-1;-3;
-1;-1;1;3;-2;-4;0;1;
-2;-2;0;0;0;-1;0;-1;
-1;0;3;1;-1;1;2;0;
-1;-2;-7;-7;-3;-1;-6;-3;
-2;-1;1;4;-2;-2;-2;-2;
-2;1;0;2;2;1;0;0;
-1;0;2;3;2;0;-2;-4;
0;0;-1;-1;1;-1;0;-1;
2;-2;-5;-8;-3;0;-1;0;
-1;-1;1;-1;-6;-3;-2;1;
-1;-1;0;1;0;0;1;0;
-2;-3;-8;-11;-2;0;1;-2;
0;1;4;7;1;1;-1;0;
0;1;6;8;1;0;0;1;
-3;-2;-5;-2;-1;0;-3;-1;
-1;0;0;3;1;0;0;0;
-1;-2;-7;-7;-4;-2;-1;-2;
0;-2;-1;-3;-1;-2;0;-2;
-1;-3;-2;-1;-3;-2;-1;0;
-2;0;1;3;0;-2;-1;1;
-3;0;-2;-3;-1;0;0;0;
0;0;-2;2;2;0;-3;-2;
-1;0;-1;-3;-3;-1;-1;-1;
-2;-1;0;0;-2;-1;0;-1;
1;-2;0;1;-1;-1;0;-1;
-1;-4;-7;-8;-3;0;-1;-1;
-2;-2;-3;-4;-2;-2;-1;-2;
-1;1;3;3;-3;0;1;-3;
-2;2;3;7;5;0;-1;0;
-1;1;-2;-3;-1;-2;-2;0;
-2;-4;-5;-7;-3;0;0;0;
-3;-4;-8;-9;-6;-2;0;-1;
0;1;1;0;2;0;-2;-2;
0;0;-1;0;0;-1;-1;0;
-1;0;0;0;-2;-1;-3;-1;
0;-1;-2;1;1;0;1;1;
-1;-4;-3;-4;-4;-2;-1;-2;
-2;-5;-7;-13;-8;-3;-2;-2;
-1;-2;0;3;2;0;-1;-1;
1;0;6;8;5;0;-1;1;
-2;0;-1;0;-1;-2;2;-1;
-1;0;0;-1;0;1;-1;-2;
0;-1;0;2;0;-3;-1;-2;
1;-1;-3;-4;-4;-1;-2;-1;
-1;-1;1;0;-3;0;-1;1;
-2;-1;0;2;-3;-1;0;1;
-1;-1;-2;-4;-2;-2;-1;-1;
-1;0;0;4;3;0;0;-2;
0;0;1;-1;1;0;-2;-2;
-2;-3;-5;-5;-3;-3;0;-1;
0;0;1;-2;-1;-1;-1;0;
-2;0;1;-1;-3;1;-2;-2;
-1;-3;-4;-4;-4;-2;-1;0;
1;1;2;2;0;-1;0;-2;
-1;0;1;1;-1;1;0;0;
0;-2;-2;-2;3;-1;0;-1;
-1;-2;-2;0;-1;-1;0;-1;
-1;-2;-2;-2;-1;-1;0;0;
-1;-3;-4;-5;-5;-3;-1;-1;
-2;-4;-5;-10;-6;-3;-2;-2;
0;-2;-1;-1;0;1;-1;0;
1;2;6;13;7;0;1;-2;
0;-2;0;2;3;-1;-1;-1;
1;2;3;5;3;0;1;0;
-3;-3;-4;-10;-3;-2;-3;-1;
-1;-1;-1;2;-1;1;0;-1;
-1;-3;-2;-3;-3;-3;0;-1;
-1;-1;-4;-2;-1;-1;-8;-3;
-1;-2;-1;-6;-2;-2;-1;-3;
-2;-2;-2;-5;-1;-1;0;0;
-2;-3;-5;-6;-5;-2;-2;-3;
0;-2;-2;-2;-1;0;-1;-3;
-1;-1;0;-2;-3;-2;1;0;
-1;-2;-1;0;0;-1;0;0;
-1;2;2;0;0;-1;-1;-3;
-1;-1;2;0;-3;-1;0;0;
-1;-1;-1;0;1;0;-2;-2;
0;-4;-3;-1;-2;-1;-3;-1;
-1;0;-1;-5;-3;-1;0;-2;
0;1;0;-2;-2;0;-1;-1;
1;2;6;11;4;-1;0;-1;
-2;0;2;1;-1;-1;2;3;
-3;0;-5;-5;-1;-1;-3;-2;
-1;0;-2;-3;-1;-3;1;1;
-1;-2;-5;-9;-6;-1;-1;-2;
0;-3;-2;2;-2;0;0;0;
1;-2;0;1;1;1;-2;0;
-3;-4;-2;-3;-2;0;0;-1;
-1;1;1;4;1;0;0;-2;
-1;0;-1;0;-1;0;-2;-2;
0;-3;-5;-2;-1;-3;-2;1;
-3;-2;0;5;2;-1;-2;-1;
-1;-2;-5;-7;-4;-3;-3;-3;
1;0;3;9;7;3;1;2;
-1;1;-2;-4;-3;0;1;-1;
-1;-1;-2;0;-1;-1;-1;-1;
-1;-1;-2;-1;0;-1;0;-1;
-2;0;1;2;-1;-1;0;-1;
-3;-3;-3;-4;-4;-1;-1;0;
-2;-4;-7;-12;-6;0;-2;-1;
1;3;3;5;1;0;0;1;
0;0;5;1;-1;0;0;-2;
-1;-1;-1;2;2;-1;0;-1;
-2;-1;-4;-7;-5;-1;1;0;
-3;-2;-5;-5;-2;-1;0;-2;
0;-1;-1;-2;0;-1;-4;-3;
0;-3;1;0;0;-3;-1;-1;
-1;-3;-2;-10;-4;-2;0;-2;
-1;0;2;3;4;3;0;0;
-2;2;0;-2;-6;-1;0;0;
-2;1;2;0;1;-2;-3;-2;
1;-2;-3;-4;-2;-1;0;0;
-1;-2;1;3;-4;-2;-2;0;
-1;-2;-3;-2;3;0;0;-1;
-1;0;-2;0;-3;0;-1;-3;
0;1;3;5;0;0;-2;0;
0;-2;-1;-3;-2;-1;0;-1;
0;-4;-5;-7;-5;-2;-2;-3;
-1;0;-1;-2;-1;-1;-2;1;
-1;0;0;1;1;-2;-1;-2;
-3;-1;-5;-8;-3;-3;-1;-3;
-1;-3;-6;-3;-4;-2;1;0;
1;1;7;14;5;1;1;0;
-1;-1;0;0;1;0;0;-2;
-3;-1;0;-1;1;0;-2;-4;
-1;-1;-5;-5;-2;-1;-2;-1;
1;-1;-4;-1;-2;-1;-3;-1;
-4;1;0;-1;-2;0;-1;0;
-2;-4;-5;-8;-6;-3;-1;-3;
-3;-1;-4;-7;-1;-3;0;-1;
-2;1;-1;2;-2;1;2;1;
0;0;-1;-4;-1;-1;-5;0;
-1;-2;-4;4;1;0;0;-1;
-1;-4;-4;-3;-4;-3;-3;-3;
0;-2;0;0;1;-2;-1;-2;
0;0;1;4;1;1;0;0;
-3;1;0;-2;-3;-3;1;-2;
-1;-3;-7;-10;-3;0;-2;-1;
1;0;2;8;0;0;-1;0;
-1;1;1;1;1;-1;-1;0;
-1;-3;0;-3;-1;-1;-2;-3;
-2;-2;-4;-4;-2;-1;-1;-3;
-2;-4;-9;-13;-7;-1;-2;0;
-1;0;1;5;2;-1;-1;0;
1;2;5;5;3;1;1;0;
-3;0;0;2;0;-1;-1;0;
0;-1;-1;-3;-2;-2;-3;-1;
-3;-2;-3;-2;-1;1;-2;-1;
0;-1;0;-1;-2;0;-2;-2;
0;-4;-6;-12;-4;-3;-1;-1;
-1;-1;2;2;-1;-2;-3;-1;
0;1;4;7;4;1;2;-1;
-1;0;-2;5;1;0;-1;0;
-1;-1;0;-4;-2;-2;-1;-1;
0;-1;0;-2;-1;-1;-1;0;
-1;-3;-6;-11;-6;-2;-1;0;
1;-1;-2;1;2;0;-1;0;
0;1;7;6;3;0;0;1;
0;1;1;2;0;1;-1;-1;
-2;-1;-1;-3;-5;-1;0;-2;
-2;-3;-8;-1;-4;-4;-2;-1;
-1;0;-4;-3;0;-2;-1;-3;
-1;-1;1;3;-2;-4;0;1;
-2;-2;0;0;0;-1;0;-1;
-1;0;3;1;-1;1;2;0;
-1;-2;-7;-7;-3;-1;-6;-3;
-2;-1;1;4;-2;-2;-2;-2;
-2;1;0;2;2;1;0;0;
-1;0;2;3;2;0;-2;-4;
0;0;-1;-1;1;-1;0;-1;
2;-2;-5;-8;-3;0;-1;0;
-1;-1;1;-1;-6;-3;-2;1;
-1;-1;0;1;0;0;1;0;
-2;-3;-8;-11;-2;0;1;-2;
0;1;4;7;1;1;-1;0;
0;1;6;8;1;0;0;1;
-3;-2;-5;-2;-1;0;-3;-1;
-1;0;0;3;1;0;0;0;
-1;-2;-7;-7;-4;-2;-1;-2;
0;-2;-1;-3;-1;-2;0;-2;
-1;-3;-2;-1;-3;-2;-1;0;
-2;0;1;3;0;-2;-1;1;
-3;0;-2;-3;-1;0;0;0;
0;0;-2;2;2;0;-3;-2;
-1;0;-1;-3;-3;-1;-1;-1;
-2;-1;0;0;-2;-1;0;-1;
1;-2;0;1;-1;-1;0;-1;
-1;-4;-7;-8;-3;0;-1;-1;
-2;-2;-3;-4;-2;-2;-1;-2;
-1;1;3;3;-3;0;1;-3;
-2;2;3;7;5;0;-1;0;
-1;1;-2;-3;-1;-2;-2;0;
-2;-4;-5;-7;-3;0;0;0;
-3;-4;-8;-9;-6;-2;0;-1;
0;1;1;0;2;0;-2;-2;
0;0;-1;0;0;-1;-1;0;
-1;0;0;0;-2;-1;-3;-1;
0;-1;-2;1;1;0;1;1;
-1;-4;-3;-4;-4;-2;-1;-2;
-2;-5;-7;-13;-8;-3;-2;-2;
-1;-2;0;3;2;0;-1;-1;
1;0;6;8;5;0;-1;1;
-2;0;-1;0;-1;-2;2;-1;
-1;0;0;-1;0;1;-1;-2;
0;-1;0;2;0;-3;-1;-2;
1;-1;-3;-4;-4;-1;-2;-1;
-1;-1;1;0;-3;0;-1;1;
-2;-1;0;2;-3;-1;0;1;
-1;-1;-2;-4;-2;-2;-1;-1;
-1;0;0;4;3;0;0;-2;
0;0;1;-1;1;0;-2;-2;
-2;-3;-5;-5;-3;-3;0;-1;
0;0;1;-2;-1;-1;-1;0;
-2;0;1;-1;-3;1;-2;-2;
-1;-3;-4;-4;-4;-2;-1;0;
1;1;2;2;0;-1;0;-2;
-1;0;1;1;-1;1;0;0;
0;-2;-2;-2;3;-1;0;-1;
-1;-2;-2;0;-1;-1;0;-1;
-1;-2;-2;-2;-1;-1;0;0;
-1;-3;-4;-5;-5;-3;-1;-1;
-2;-4;-5;-10;-6;-3;-2;-2;
0;-2;-1;-1;0;1;-1;0;
1;2;6;13;7;0;1;-2;
0;-2;0;2;3;-1;-1;-1;
1;2;3;5;3;0;1;0;
-3;-3;-4;-10;-3;-2;-3;-1;
-1;-1;-1;2;-1;1;0;-1;
-1;-3;-2;-3;-3;-3;0;-1;
-1;-1;-4;-2;-1;-1;-8;-3;
-1;-2;-1;-6;-2;-2;-1;-3;
-2;-2;-2;-5;-1;-1;0;0;
0;-1;1;1;0;-2;2;2;
0;-1;-2;-5;0;-1;0;-1;
0;0;2;4;0;-1;0;0;
0;0;3;2;0;1;-1;-3;
-4;-3;-3;-5;-6;-2;1;-2;
-1;-1;-1;0;-1;-1;-1;1;
-2;-2;-5;-2;0;-1;-1;-1;
-2;-3;-3;-9;-6;-2;-2;-1;
1;0;1;1;3;1;0;0;
1;1;6;10;3;-1;0;0;
-1;0;0;-5;-3;-1;-1;0;
0;1;-1;1;1;-1;0;0;
-2;-2;-1;-1;-4;-1;-1;-2;
-1;0;-2;-2;-3;-2;-1;-2;
-1;-1;-6;-6;-3;0;-3;0;
-1;-1;2;0;-1;0;-2;0;
-1;-1;-2;0;-1;2;0;-1;
0;0;-1;0;0;-1;0;1;
-1;-2;-1;2;1;0;0;-1;
-3;-3;-3;-6;-5;-1;-1;0;
-2;-2;-2;-1;3;-1;0;0;
-1;-1;1;2;2;0;-3;-2;
1;-2;-3;-6;-2;0;0;-1;
-2;-1;-2;1;1;-2;0;-2;
-1;1;1;3;2;-1;-3;-1;
-1;-2;-5;-10;-7;1;-2;-1;
-1;-2;-2;0;2;0;-2;1;
2;-3;1;4;0;0;-1;-1;
1;2;-2;2;1;0;0;0;
-2;-1;4;5;0;-1;-2;1;
-3;-2;-1;-8;-7;-1;1;-1;
-1;-1;-1;-3;-1;0;-1;0;
2;0;4;2;1;1;0;0;
-1;-1;-3;-4;0;-2;1;-1;
-1;-2;-3;-4;-2;-3;0;0;
-1;-1;1;4;1;-1;0;-1;
-1;-2;-2;-5;-6;-1;1;0;
-2;0;0;1;0;-1;-2;-1;
0;-4;-3;-1;-2;-1;-3;-1;
-1;0;-1;-5;-3;-1;0;-2;
0;1;0;-2;-2;0;-1;-1;
1;2;6;11;4;-1;0;-1;
-2;0;2;1;-1;-1;2;3;
-3;0;-5;-5;-1;-1;-3;-2;
-1;0;-2;-3;-1;-3;1;1;
-1;-2;-5;-9;-6;-1;-1;-2;
0;-3;-2;2;-2;0;0;0;
1;-2;0;1;1;1;-2;0;
-3;-4;-2;-3;-2;0;0;-1;
-1;1;1;4;1;0;0;-2;
-1;0;-1;0;-1;0;-2;-2;
0;-3;-5;-2;-1;-3;-2;1;
-3;-2;0;5;2;-1;-2;-1;
-1;-2;-5;-7;-4;-3;-3;-3;
1;0;3;9;7;3;1;2;
-1;1;-2;-4;-3;0;1;-1;
-1;-1;-2;0;-1;-1;-1;-1;
-1;-1;-2;-1;0;-1;0;-1;
-2;0;1;2;-1;-1;0;-1;
-3;-3;-3;-4;-4;-1;-1;0;
-2;-4;-7;-12;-6;0;-2;-1;
1;3;3;5;1;0;0;1;
0;0;5;1;-1;0;0;-2;
-1;-1;-1;2;2;-1;0;-1;
-2;-1;-4;-7;-5;-1;1;0;
-3;-2;-5;-5;-2;-1;0;-2;
0;-1;-1;-2;0;-1;-4;-3;
0;-3;1;0;0;-3;-1;-1;
-1;-3;-2;-10;-4;-2;0;-2;
-1;0;2;3;4;3;0;0;
-2;2;0;-2;-6;-1;0;0;
